Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,,,,,,,,0,,,,,,,0.2,1,,0.2,,,0.2,,,0.3,0.1,0.2,0.1,0.4,0.5,0.7,0.5,0.4,0.6,0.3,0.2,0.7,0.7,0.3,0.6,0.6,,
Azerbaijan,,,,,,,,,,,,,,,,7.1,,,,,,2.6,0,0,0,0,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,81.9,,,,,,84.7,,,,,,,,78.6,,,,,,,72.8,,,,,,,,
Belgium,,,,,,0.2,,,0.5,,,,1,,,0.4,,0.5,,,0.3,,,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,51.4,,,,,,,,53.2,,,,49.6,,,19.2,,,
Burkina Faso,,,,,,,,,,,,,,,83.2,,,,81.6,,,,,57.4,,,,,,55.4,,,,,43.8,,,,33.7,,,
Bangladesh,,,,38.8,,34.2,,,43.2,,,43.5,,,,35,,,,,34.2,,,,,25.1,,,,,19.2,,,,,,14.3,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,1.8,1.2,1.3,2,2.4,2.2,1.8,1.6,3.4,1.9,1.4,0.9,0.9,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,11.8,10.6,7.3,3.2,2.1,1.4,0.3,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belize,,,,,,,,,,,,,,10.1,9.7,,13.3,16,14.2,13.9,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,19.3,,25.2,28.6,22.8,24.6,,13.6,19.2,16.1,12.4,11,10.3,,7.2,8.2,6.9,5.7,6.3,7.5,6.5,4.9,3.2,4.4,
Brazil,,21.3,21.7,27.4,26.7,23.1,10.5,17.7,20,18.2,21.5,,20.7,19.8,,12.9,14.1,14,12.7,13.3,,11.5,10.2,11,9.7,8.6,7.2,6.7,5.5,5.4,,4.7,3.9,3.2,2.9,3.4,4.1,4.7,4.7,4.9,1.7,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,8.2,,,,,2.2,,,,,1.5,,,,
Botswana,,,,,,40.9,,,,,,,,33.3,,,,,,,,,28.2,,,,,,,17.2,,,,,,14.5,,,,,,
Central African Republic,,,,,,,,,,,,,84.1,,,,,,,,,,,,,,,,65.9,,,,,,,,,,,,,
Canada,,0.5,,,,,,0.2,,,,0.2,,,0.2,,,0.5,0.5,,0.2,,,,0.2,,,0.2,,,0.2,,0.2,0.5,0.2,0.2,0.2,0.2,,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,0.7,,,,,,,,,,0.5,,,,,,,,0,,0,,,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,11.4,,,7.9,,4.6,,4.9,,3.4,,3.5,,4.3,,,4,,,1.5,,,1.3,,0.6,,0.4,,0.3,,0.3,,,0.7,
China,,,,,,,,,,,66.3,,,56.7,,,41.7,,,40.3,,,31.7,,,18.5,,,14.9,,11.2,7.9,6.5,1.9,1.4,0.7,0.5,0.4,0.3,0.1,,
Cote d'Ivoire,,,,,,7.6,3.5,7.4,11.9,,,,23.7,,,21.6,,,27,,,,24.4,,,,,,30.4,,,,,,,29.8,,,9.2,,,
Cameroon,,,,,,,,,,,,,,,,,51.2,,,,,26,,,,,,31.8,,,,,,,26,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,94.3,,,,,,,,77.2,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,55.1,,,,,,39.6,,,,,,,,,,
Colombia,,,,,,,,,,,,,9,,,,16.7,,,20.4,16.8,20.1,13.2,12.1,11.2,9.8,,,10.4,9,7.8,6.3,6.2,5.6,5,4.6,4.5,4,4.2,4.9,10.3,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,19.1,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,8.4,,,,,,,,3.4,,,,,,
Costa Rica,,25.2,,,,,13.5,,,10.4,10.2,11.8,9.7,8.1,6.8,7,8.1,6.6,5.1,6.6,6.7,4.9,4.6,4.6,4.4,3.2,3.2,1.8,2.3,2.4,1.5,1.6,1.6,1.6,1.5,1.5,1.3,1.1,1.5,1,2.1,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0.2,,
Czech Republic,,,,,,,,,,,,,0,0,,,0,,,,,,0,,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,
Germany,,,,,,,,,,,,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,20.2,,,,,,,,,,18.2,22.3,,,,17,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,0.5,,,,,0.5,,,0,,,,,0,,,0.3,0.3,0.3,0.1,0,0.1,0.5,0.1,0,0,0.3,0.2,0.2,0.3,0.1,0.2,0.3,,
Dominican Republic,,,,,,,5.5,,,14.1,,,5.6,,,,5.3,5.6,,,5.5,4.1,5.9,6.9,9,5.9,4.7,4.5,3.9,3.5,2.7,2.9,2.6,2.2,2.1,1.8,1.6,0.7,0.4,0.6,0.8,
Algeria,,,,,,,,,6.3,,,,,,,5.6,,,,,,,,,,,,,,,,0.4,,,,,,,,,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,80.2,78,74.8,69.7,65.7,62.8,58.8,53.3,63.4,60.9,58.9,56.1,53.2,49.7,44.6,40.2,40.1,41.4,37.9,34.8,32.7,29.1,25.9,22.5,18.3,17.8,15.7,14.7,12.9,10.8,8.1,6.9,3.3,2.6,2.1,1.7,1.5,1.2,0.9,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,2.3,2.8,4.2,5.1,6.7,6.8,6.8,6,6,7.8,7.4,6.6,5.7,5.8,4.8,4.7,4,3.3,2.7,2.5,2.4,2,1.9,1.6,1.8,1.5,1.3,1.3,1,1.1,,
Ecuador,,,,,,,,,,,,,,,17.3,,,,,21.9,28.4,,,14.9,15.1,11.8,8.2,8.5,7.5,7.3,5.7,4.7,4.5,3.2,2.6,3.5,3.6,3.2,3.3,3.6,6.5,
"Egypt, Arab Rep.",,,,,,,,,,,8.7,,,,,5.6,,,,2.4,,,,,5.2,,,,4.7,,2.2,,1.5,,,1.6,,3.8,,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,0.5,,,,,0.2,,,,,0.5,,,,,1.2,,,,,0.5,,,0.8,0.8,0.8,0.8,0.4,0.5,0.8,0.7,1.1,0.9,1.2,0.8,0.9,1.2,0.7,0.9,0.8,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,2.3,1,0.8,0.7,0.4,0.4,0.6,0.7,1,0.7,0.8,0.7,0.6,0.5,0.3,0.2,0.5,,
Ethiopia,,,,,,,,,,,,,,,,69,,,,57.8,,,,,38.5,,,,,,35.6,,,,,30.8,,,,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,57.8,58.4,58.2,57.1,56.3,55.4,54.9,,51.7,50.4,49.2,45.7,43.7,42.3,41,39.7,38.9,37,37.4,36,35,33.9,35.7,35.8,35.5,35,,,
Finland,,,,,,,,0,,,,0,,,,0,,,,,0,,,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,1.6,,,,,0.5,,,,,,2.6,,
France,,,,,1.5,,,,,1,,,,,0,,,,,,0,,,0.2,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0,0,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,15.4,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,3.4,,,,
United Kingdom,,,,,,,0.7,,,,,0.2,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.2,0.3,0.3,0.2,0.1,0.4,0.2,0.2,0.2,0.1,0.2,0.3,,,,
Georgia,,,,,,,,,,,,,,,,,5.3,15.9,14.5,18.5,19.2,19,10.3,10.4,9.9,10.7,10.3,11.6,10.2,10.1,12,11.1,8.5,6.4,4.9,3.7,3.8,5,4.5,3.8,4.2,
Ghana,,,,,,,,40.5,40.3,,,47.9,,,,,,,34.2,,,,,,,23.4,,,,,,,11.2,,,,12.7,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,91.8,,,49.8,,,,,,,,63,,,,,58.4,,,,,36.1,,,,,,23.2,,,
"Gambia, The",,,,,,,,,,,,,,,,,,,70.8,,,,,46.1,,,,,,,25.4,,,,,10.3,,,,,,
Guinea-Bissau,,,,,,,,,,,,44.3,,44.1,,,,,,,,,56.6,,,,,,,,68.4,,,,,,,,24.7,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,1.7,,,,,0.5,,,0.5,0.7,0.3,0.6,0.5,0.3,0.6,1,1.2,1.5,1,1.5,1.4,1.1,0.9,0.1,0.7,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,48.8,,,36.3,,,,,,,,,13.5,,9.3,,,,,,11.2,,,,,,,,8.8,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,28.9,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,
High income,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.6,0.6,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,42.9,45,34.1,29.2,24.3,27,28.2,31.4,21.8,26.6,26.8,,21.9,23.9,28.5,27.7,27.1,23,17.6,16.9,14.2,15.6,16,19,16.4,15.2,14.9,16.1,15.4,15.8,14.8,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.2,0.7,0.8,0.7,1,0.6,0.6,0.5,0.4,0.3,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.7,0.1,0.1,0,0.1,0.1,0.1,0.3,0.1,0.6,0.6,1.3,0.6,0.2,0.3,,
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,,,,,,,,,,55.3,55.8,56.1,54.8,54.4,54.3,52.3,51,50.8,50.9,50.8,50.4,49.6,48.8,47.1,43.8,41.6,40,38.3,36.9,36,34.1,33.7,32.4,31.4,30.4,30.6,30.2,29.2,28.3,27.9,,
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,68.5,,,68.2,,,54.9,,,54.8,,,43.6,,63.2,37.4,34.9,31.2,19,19.3,21,18,23.9,19.3,19,15.5,13.3,10.9,9.5,7.3,6.2,5.8,5.2,4.5,3.6,2.7,2.3,2.2
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,56.4,,,,50.6,,,,,,47.6,,,,,,,,,,,39.9,,,,,32.8,,22.5,,,,,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,0.7,,,,,,,0.2,0.2,0.2,,,,0.2,,0.2,0.1,0,0,0.4,0.1,0.2,0.4,0.5,0.5,0.2,0.7,0.4,0.3,0.1,0.2,0,,,
"Iran, Islamic Rep.",,,,,,,6.8,,,,6.2,,,,2.9,,,,2.9,,,,,,,0.6,0.6,,,1.1,,,,0.2,0.4,0.4,0.4,0.4,0.5,0.6,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,1.7,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,,,,
Israel,,,,,,,0.2,,,,,,0.2,,,,,0.2,,,,0.2,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.2,0.2,0.5,0.5,0.5,0.5,0.2,0.5,0.2,,,
Italy,,,,,,,0.2,1.2,,0,,0.2,,1.2,,0.7,,,1.7,,1.2,,,0.8,0.6,0.6,0.7,0.7,0.7,0.9,1.3,1.2,1.2,1.4,1.2,1.9,1.6,1.4,1.5,,,
Jamaica,,,,,,,,,6.1,,4.6,,,9.8,,,3.4,,,2.6,,,2.7,,1.7,,,,,,,,,,,,,,,,,
Jordan,,,,,,,0,,,,,,2.7,,,,,1.5,,,,,1,,,,0.3,,0.1,,0.1,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0,,,0.7,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,5.9,,,,,8.9,5.6,3.7,1.8,5.8,0.5,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0,,,
Kenya,,,,,,,,,,,,,31.7,,31.7,,,32.2,,,,,,,,43.9,,,,,,,,,,37.1,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,35.1,31.4,28.3,22.3,9.9,12.1,7.3,7.9,2.9,1.4,2.8,0.9,2.5,2.2,0.9,1.8,1,1.1,0.6,0.6,1.1,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,,,,,1.3,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.5,,0.2,,0.2,,0.2,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,,,,,,,,,,,,,31.1,,,,,50.7,,,,,32.1,,,,,25.7,,,,,14.5,,,,,,10,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4,,,,,,,41.7,,44.4,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,4.6,,,,,
Latin America & Caribbean,,13.8,14.5,17.2,17,15.8,11.4,14,15,14.4,15.6,14.7,14.7,14.6,13.5,13.6,15.3,14.4,13.7,13.9,12.8,12.5,11.9,11.4,10.4,9.8,8,7.6,7.1,6.7,6.1,5.6,4.7,4.2,4,3.9,4.1,4.1,4,4.1,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,64.4,63,62.4,61.9,61.2,60.3,59.5,60,58.6,55.5,53.8,53,51.8,50.2,50.6,48.7,49.1,47.3,46.3,45.5,46.6,46.3,46,45,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,14.1,,,,,9.3,,,,,9.5,,,,,,,8.8,,,,4.4,,,2.8,,,1.9,,,,0.9,,,,,
Lower middle income,,51.5,51.4,50.3,49.3,48.4,48,47.7,46.6,46,44.8,44.4,43.6,43.1,42.4,40.9,39.5,39.4,40.4,37.9,,36.7,35,34,32.5,30.8,30,28.2,27,25.7,23.4,19.6,18.4,16.8,15.4,14.2,13,11.9,10.9,,,
Low & middle income,,53.9,53.1,51.9,49.6,47.5,45.8,44.3,42,45.7,44.9,44.3,43.1,41.9,40.5,38.1,36.2,35.9,36.2,34.9,33.6,32.6,30.9,29.4,27.2,25,24.1,22.7,21.8,20.8,19.1,16.4,15.4,13.4,12.6,12,11.4,10.8,,,,
Lesotho,,,,,,,49.6,,,,,,,,50.5,,,,,,,,61.9,,,,,,,,,,,,,,,27.2,,,,
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.8,1.5,1.3,1.4,2.2,1.5,0.7,0.9,0.7,1.3,0.7,1.3,1,0.9,0.5,,
Luxembourg,,,,,,0,,,,,,0,,,0,,,0,,,0,,,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.3,0.1,0.3,0.3,0.1,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.3,1.5,0.6,1.2,1.7,1.6,1,1,1.1,0.8,0.6,0.6,0.8,0.3,0.2,,
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,10.6,,,,,,2.9,,,,,,,,6.4,,5.8,,,,,,3,,,,,,,0.9,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,15.4,26.9,38,35.1,26.9,16.1,7.4,8.4,13.2,2.4,1.1,1.2,1,0.5,0.3,0.3,0.1,0,0,0.2,0.1,0,0,,
Madagascar,45.8,,,,,,,,,,,,,69.9,,,,66.4,,63.9,,68.4,,,,71.7,,,,,78.2,,78.8,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,3.5,,,,,,,0,,,0,,
Middle East & North Africa,,,,,,8.2,8.4,8.6,8.4,8.4,6.6,10.2,8.2,6.7,6.4,6.6,5.9,5,4,3.7,3.3,3.3,,4.2,3.3,3.1,2.9,2.8,2.7,2.5,2.1,2.3,2.2,2.2,2.5,4.3,5.3,6.4,7.1,,,
Mexico,,,,,,,,,,9.1,,,7.4,,7.5,,18.1,,12.9,,9,,6.6,,6,6.6,4.2,,5.4,,4.5,,3.8,,3.7,,3.2,,2.7,,3.1,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,10.4,9.1,6.9,5.2,4.5,5.5,4.3,4.6,3.4,,,
Mali,,,,,,,,,,,,,,,85.3,,,,,,,58.8,,,,,52.1,,,50.3,,,,,,,,,16.3,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.1,0.4,0.2,0.2,0.1,0,0,0.1,0.1,0.2,0.1,0.3,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,1.4,,,,
Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.2,1.7,1.4,2.5,3.4,2.9,,,
Mongolia,,,,,,,,,,,,,,,,12.1,,,24.4,,,,9.5,,,,,1.2,,,0.7,0.5,0.4,,0.2,,0.5,,0.5,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,82,,,,,,79.8,,,,,,69.7,,,,,,63.7,,,,,,,
Mauritania,,,,,,,,40,,,,,,41.1,,20.6,,,,,20.4,,,,16.9,,,,10.9,,,,,,6,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,0.6,,,,,0.2,,,,
Malawi,,,,,,,,,,,,,,,,,,62.4,,,,,,,72.5,,,,,,71.1,,,,,,69.2,,,73.5,,
Malaysia,,,,,2.9,,,2.1,,1.6,,,1.3,,,1.8,,0.4,,,,,,1.2,,,0.6,,0.6,,,0.1,,0,,0,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,32.6,,,,,,23.5,,,,,,13.8,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,78.5,,81.6,,,,,,,,,,,75.3,,72.4,,,,50.6,,,45.4,,,,41.4,,,
Nigeria,,,,,,55.5,,,,,,,58.6,,,,64.9,,,,,,,55.9,,,,,,,,,,,,,,,39.1,,,
Nicaragua,,,,,,,,,,,,,,36.7,,,,,24.5,,,16.9,,,,8.5,,,,7.4,,,,,3.4,,,,,,,
Netherlands,,,,0.5,,,,0.2,,,1,,,1,,,,,,0.2,,,,,0.2,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,,
Norway,,,,,,,0.2,,,,,0.2,,,,0.2,,,,,0.2,,,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.2,,
Nepal,,,,,,,,,,,,,,,,66,,,,,,,,49.9,,,,,,,15,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,64.1,,,60.6,,,,,,18.3,,25.4,,,28.2,,,16.7,16.6,,11.9,,,7.4,7.2,,5.7,,3.8,,,3.6,,,
Panama,,,,,,,,,,23.9,,21.9,,,,16.3,,15,15.2,13.4,12.3,15.4,11.1,11.1,10.1,9.9,10.5,7.8,5.2,3.2,4.5,3,4.1,2.8,3.5,2,2.2,2.5,1.7,1.2,,
Peru,,,,,,,,,,,,,,,,,,17.3,16.4,17,16.4,17.3,15.1,12,13.6,15.4,13.5,11.1,9.1,7.1,5.5,5.2,4.8,4.4,3.7,3.6,3.5,3.4,2.7,2.2,4.4,
Philippines,,,,,,,,,,,,,,,,,,,,,13.7,,,13,,,14.4,,,10.7,,,10.4,,,6.1,,,2.7,,,
